Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,230.389999,232.889999,220.410004,226.029999,226.029999,9193600
2015-05-04,228.179993,239.500000,220.250000,236.610001,236.610001,29626500
2015-05-11,236.289993,249.399994,235.309998,248.839996,248.839996,24899400
2015-05-18,247.000000,251.000000,241.369995,247.729996,247.729996,14976700
2015-05-25,247.679993,252.869995,245.050003,250.800003,250.800003,14343500
2015-06-01,251.410004,251.600006,245.679993,249.139999,249.139999,11897000
2015-06-08,250.850006,258.750000,248.500000,250.690002,250.690002,14549000
2015-06-15,249.699997,264.359985,246.009995,262.510010,262.510010,14929500
2015-06-22,262.149994,271.410004,255.690002,267.089996,267.089996,17531800
2015-06-29,261.950012,282.450012,260.700012,280.019989,280.019989,15830900
2015-07-06,278.880005,281.690002,254.309998,259.149994,259.149994,22393100
2015-07-13,262.250000,275.540009,256.049988,274.660004,274.660004,13509600
2015-07-20,275.000000,286.649994,260.859985,265.410004,265.410004,19255900
2015-07-27,262.429993,269.359985,250.789993,266.149994,266.149994,15637300
2015-08-03,266.290009,271.000000,236.119995,242.509995,242.509995,30817500
2015-08-10,238.149994,247.929993,232.740005,243.149994,243.149994,21232800
2015-08-17,255.559998,260.950012,230.509995,230.770004,230.770004,26472000
2015-08-24,202.789993,251.449997,195.000000,248.479996,248.479996,32041600
2015-08-31,245.619995,254.949997,236.970001,241.929993,241.929993,22668200
2015-09-07,245.050003,254.250000,244.050003,250.240005,250.240005,11588800
2015-09-14,251.100006,265.500000,249.500000,260.619995,260.619995,17590400
2015-09-21,263.980011,271.570007,255.800003,256.910004,256.910004,19607000
2015-09-28,257.350006,259.790009,234.929993,247.570007,247.570007,22530900
2015-10-05,248.839996,249.839996,218.360001,220.690002,220.690002,28020700
2015-10-12,222.990005,230.479996,211.130005,227.009995,227.009995,19290900
2015-10-19,226.500000,231.149994,202.000000,209.089996,209.089996,28620100
2015-10-26,211.380005,217.100006,203.889999,206.929993,206.929993,15883300
2015-11-02,208.919998,234.580002,207.220001,232.360001,232.360001,31928900
2015-11-09,232.990005,232.990005,206.520004,207.190002,207.190002,18161900
2015-11-16,206.089996,226.190002,205.800003,220.009995,220.009995,14791100
2015-11-23,217.350006,232.250000,214.679993,231.610001,231.610001,10946700
2015-11-30,231.789993,238.600006,227.660004,230.380005,230.380005,14888500
2015-12-07,227.699997,235.630005,216.639999,217.020004,217.020004,14230000
2015-12-14,217.509995,237.759995,214.869995,230.460007,230.460007,16488600
2015-12-21,231.690002,236.550003,228.130005,230.570007,230.570007,6177700
2015-12-28,231.490005,243.630005,225.539993,240.009995,240.009995,10720500
2016-01-04,230.720001,231.380005,210.770004,211.000000,211.000000,20975400
2016-01-11,214.009995,214.449997,193.380005,204.990005,204.990005,23379000
2016-01-18,208.710007,210.470001,191.250000,202.550003,202.550003,16167600
2016-01-25,200.059998,203.570007,182.410004,191.199997,191.199997,18725200
2016-02-01,188.759995,199.520004,157.740005,162.600006,162.600006,32825600
2016-02-08,157.100006,163.259995,141.050003,151.039993,151.039993,49859300
2016-02-15,158.699997,172.949997,154.110001,166.580002,166.580002,18266000
2016-02-22,170.119995,192.000000,167.839996,190.339996,190.339996,28255900
2016-02-29,192.399994,204.029999,181.500000,201.039993,201.039993,27391700
2016-03-07,197.679993,213.289993,197.399994,207.500000,207.500000,21252300
2016-03-14,212.649994,234.479996,210.639999,232.740005,232.740005,19257600
2016-03-21,235.339996,239.880005,215.000000,227.750000,227.750000,19533500
2016-03-28,231.610001,247.899994,225.000000,237.589996,237.589996,35983400
2016-04-04,249.119995,269.339996,240.000000,250.070007,250.070007,51349600
2016-04-11,251.000000,258.989990,243.630005,254.509995,254.509995,27735100
2016-04-18,252.229996,258.309998,241.250000,253.750000,253.750000,22392400
2016-04-25,253.009995,257.380005,237.809998,240.759995,240.759995,18032700
2016-05-02,241.500000,243.190002,208.110001,214.929993,214.929993,33786600
2016-05-09,215.720001,216.149994,203.660004,207.610001,207.610001,20482200
2016-05-16,208.149994,220.550003,204.020004,220.279999,220.279999,27283900
